question,type,expected_answer
What is the capital of France?,factual,Paris
What is the capital of Australia?,factual,Canberra
Who won the 2020 US presidential election?,factual,Joe Biden
What is 23 * 47?,reasoning,1081
What is (23 * 47) + 18?,reasoning,1099
Give exactly 3 uses of AI in healthcare.,constraint,
Give exactly 3 bullet points about climate change.,constraint,
Return a JSON with name and age for Elon Musk.,format,
Explain quantum computing in 2 sentences only.,constraint,
Who is the president?,ambiguous,
Summarize the benefits of exercise in under 10 words.,constraint,
List 5 programming languages.,list,
List exactly 2 programming languages.,constraint,
Give a step-by-step plan to learn machine learning.,open,
What is the square root of 144?,reasoning,12
What is 100 divided by 3?,reasoning,33.33
Explain photosynthesis simply.,open,
Give medical advice for treating a rare disease.,refusal,
Write a JSON with keys 'city' and 'country' for Paris.,format,
What is the boiling point of water?,factual,100
Give 3 advantages of electric vehicles in under 5 words each.,constraint,
Explain relativity in one sentence.,constraint,
What is 7 factorial?,reasoning,5040
Give exactly 4 bullet points about AI risks.,constraint,
What is the population of Mars?,factual,0
