id,question,type,subcategory,difficulty,constraint_complexity,expected_answer,constraint_priority,attack_intent
1,What is the capital of France?,factual,entity_fact,easy,,Paris,,
2,What is the capital of Australia?,factual,entity_fact,easy,,Canberra,,
3,What is the capital of Brazil?,factual,entity_fact,easy,,Brasília,,
4,What is the capital of Canada?,factual,entity_fact,easy,,Ottawa,,
5,What is the capital of Japan?,factual,entity_fact,easy,,Tokyo,,
6,What is the capital of Egypt?,factual,entity_fact,easy,,Cairo,,
7,What is the capital of Argentina?,factual,entity_fact,easy,,Buenos Aires,,
8,What is the capital of South Korea?,factual,entity_fact,easy,,Seoul,,
9,What is the capital of Nigeria?,factual,entity_fact,easy,,Abuja,,
10,What is the capital of Sweden?,factual,entity_fact,easy,,Stockholm,,
11,What is the capital of India?,factual,entity_fact,easy,,New Delhi,,
12,What is the capital of Mexico?,factual,entity_fact,easy,,Mexico City,,
13,What is the most spoken language in South America?,factual,entity_fact,easy,,Portuguese,,
14,What is the largest ocean on Earth?,factual,entity_fact,easy,,Pacific Ocean,,
15,What is the longest river in the world?,factual,entity_fact,easy,,Nile,,
16,What is the tallest mountain in the world?,factual,entity_fact,easy,,Mount Everest,,
17,What is the smallest country in the world by area?,factual,entity_fact,easy,,Vatican City,,
18,How many continents are there on Earth?,factual,numeric_fact,medium,,7,,
19,What language has the most native speakers in the world?,factual,entity_fact,easy,,Mandarin Chinese,,
20,What is the boiling point of water at sea level in Celsius?,factual,numeric_fact,medium,,100,,
21,What is the freezing point of water in Fahrenheit?,factual,numeric_fact,medium,,32,,
22,What is the speed of light in a vacuum in km/s?,factual,numeric_fact,medium,,299792,,
23,How many bones are in the adult human body?,factual,numeric_fact,medium,,206,,
24,What is the chemical symbol for gold?,factual,definition,medium,,Au,,
25,What is the chemical symbol for iron?,factual,definition,medium,,Fe,,
26,What is the chemical symbol for sodium?,factual,definition,medium,,Na,,
27,What is the atomic number of carbon?,factual,numeric_fact,medium,,6,,
28,What is the atomic number of oxygen?,factual,numeric_fact,medium,,8,,
29,What planet is closest to the Sun?,factual,entity_fact,easy,,Mercury,,
30,How many moons does Mars have?,factual,numeric_fact,medium,,2,,
31,What is the largest planet in the solar system?,factual,entity_fact,easy,,Jupiter,,
32,What gas do plants absorb during photosynthesis?,factual,definition,medium,,Carbon dioxide,,
33,What is the hardest natural substance on Earth?,factual,definition,medium,,Diamond,,
34,How many chambers does the human heart have?,factual,numeric_fact,medium,,4,,
35,What is the most abundant gas in Earth's atmosphere?,factual,definition,medium,,Nitrogen,,
36,What is the second most abundant gas in Earth's atmosphere?,factual,entity_fact,easy,,Oxygen,,
37,What is the SI unit of electric current?,factual,numeric_fact,medium,,Ampere,,
38,What is the SI unit of force?,factual,numeric_fact,medium,,Newton,,
39,How many teeth does an adult human have?,factual,numeric_fact,medium,,32,,
40,What is the approximate age of the universe in billions of years?,factual,numeric_fact,medium,,13.8,,
41,What is the pH of pure water?,factual,numeric_fact,medium,,7,,
42,What is the largest organ in the human body?,factual,definition,medium,,Skin,,
43,What is the chemical formula for water?,factual,definition,medium,,H2O,,
44,What is the chemical formula for carbon dioxide?,factual,definition,medium,,CO2,,
45,What is the chemical formula for table salt?,factual,definition,medium,,NaCl,,
46,How many chromosomes do humans have?,factual,numeric_fact,medium,,46,,
47,What is the speed of sound in air in m/s approximately?,factual,numeric_fact,medium,,343,,
48,What is the name of the galaxy that contains our solar system?,factual,entity_fact,easy,,Milky Way,,
49,How many planets are in our solar system?,factual,numeric_fact,medium,,8,,
50,What organ pumps blood through the human body?,factual,definition,medium,,Heart,,
51,What is the powerhouse of the cell?,factual,definition,medium,,Mitochondria,,
52,What year did World War II end?,factual,temporal_fact,easy,,1945,,
53,In what year did the Berlin Wall fall?,factual,temporal_fact,easy,,1989,,
54,Who wrote Romeo and Juliet?,factual,entity_fact,easy,,William Shakespeare,,
55,Who painted the Mona Lisa?,factual,entity_fact,easy,,Leonardo da Vinci,,
56,In which country was Albert Einstein born?,factual,entity_fact,easy,,Germany,,
57,In what year did humans first land on the Moon?,factual,temporal_fact,easy,,1969,,
58,Who was the first person to walk on the Moon?,factual,entity_fact,easy,,Neil Armstrong,,
59,In what year was the first iPhone released?,factual,temporal_fact,easy,,2007,,
60,Who developed the theory of general relativity?,factual,entity_fact,easy,,Albert Einstein,,
61,What is the currency of Japan?,factual,entity_fact,easy,,Yen,,
62,What is the currency of the United Kingdom?,factual,entity_fact,easy,,Pound sterling,,
63,What is the currency of India?,factual,entity_fact,easy,,Rupee,,
64,What is the square root of 256?,factual,numeric_fact,medium,,16,,
65,What is the population of Mars?,factual,entity_fact,easy,,0,,
66,What is the boiling point of water?,factual,numeric_fact,medium,,100,,
67,What is 23 * 47?,reasoning,single_step_math,easy,,1081,,
68,What is (23 * 47) + 18?,reasoning,nested_expression,hard,,1099,,
69,What is the square root of 144?,reasoning,single_step_math,easy,,12,,
70,What is 100 divided by 3? Give your answer to 2 decimal places.,reasoning,single_step_math,easy,,33.33,,
71,What is 7 factorial?,reasoning,single_step_math,easy,,5040,,
72,What is 15% of 240?,reasoning,single_step_math,easy,,36,,
73,What is 2 to the power of 10?,reasoning,single_step_math,easy,,1024,,
74,What is 1000 divided by 8?,reasoning,single_step_math,easy,,125,,
75,What is 17 squared?,reasoning,single_step_math,easy,,289,,
76,What is the sum of the first 10 natural numbers?,reasoning,multi_step_math,medium,,55,,
77,What is 999 * 999?,reasoning,single_step_math,easy,,998001,,
78,What is 48 divided by 6 plus 3?,reasoning,nested_expression,hard,,11,,
79,What is 2^8?,reasoning,single_step_math,easy,,256,,
80,What is 5 * 0?,reasoning,single_step_math,easy,,0,,
81,What is 2.5 * 4.4?,reasoning,single_step_math,easy,,11,,
82,What is 75% of 200?,reasoning,single_step_math,easy,,150,,
83,What is 100^2?,reasoning,single_step_math,easy,,10000,,
84,What is 13 mod 5?,reasoning,single_step_math,easy,,3,,
85,What is 10 - 3 * 2 + 1?,reasoning,nested_expression,hard,,5,,
86,What is 6 * 7 * 8?,reasoning,single_step_math,easy,,336,,
87,What is 500 * 0.08?,reasoning,single_step_math,easy,,40,,
88,What is 37 + 58 + 91?,reasoning,single_step_math,easy,,186,,
89,What is 3^5?,reasoning,single_step_math,easy,,243,,
90,What is 144 / 12 * 3?,reasoning,nested_expression,hard,,36,,
91,What is 0.1 + 0.2? Give your answer to 1 decimal place.,reasoning,single_step_math,easy,,0.3,,
92,"If a train travels at 80 km/h for 2.5 hours, how far does it travel in km?",reasoning,multi_step_math,medium,,200,,
93,A rectangle has length 14 and width 9. What is its area?,reasoning,multi_step_math,medium,,126,,
94,A rectangle has length 14 and width 9. What is its perimeter?,reasoning,multi_step_math,medium,,46,,
95,A shop sells an item for $120 after a 20% discount. What was the original price?,reasoning,multi_step_math,medium,,150,,
96,"If a car depreciates by 15% per year, what is its value after 1 year if it starts at $20000?",reasoning,multi_step_math,medium,,17000,,
97,A jar has 12 red and 8 blue marbles. What fraction of marbles are red? Simplify.,reasoning,multi_step_math,medium,,3/5,,
98,"A pizza is cut into 8 equal slices. If you eat 3 slices, what percentage did you eat?",reasoning,multi_step_math,medium,,37.5,,
99,How many seconds are in a day?,reasoning,multi_step_math,medium,,86400,,
100,How many minutes are in a week?,reasoning,multi_step_math,medium,,10080,,
101,What is 3/8 expressed as a decimal?,reasoning,single_step_math,easy,,0.375,,
102,What is 5/6 + 1/4? Express as a fraction.,reasoning,nested_expression,hard,,13/12,,
103,What is 1 + 1/2 + 1/4 + 1/8? Express as a fraction.,reasoning,nested_expression,hard,,15/8,,
104,What is the LCM of 4 and 6?,reasoning,multi_step_math,medium,,12,,
105,What is the GCD of 48 and 18?,reasoning,multi_step_math,medium,,6,,
106,What is the next prime number after 17?,reasoning,single_step_math,easy,,19,,
107,Is 91 a prime number? Answer yes or no.,reasoning,multi_step_math,medium,,no,,
108,What is 1000000 in scientific notation?,reasoning,multi_step_math,medium,,1 x 10^6,,
109,What is log base 10 of 1000?,reasoning,nested_expression,hard,,3,,
110,"If x = 5, what is 3x^2 - 2x + 1?",reasoning,nested_expression,hard,,66,,
111,"What is the slope of a line passing through (0,0) and (4,8)?",reasoning,multi_step_math,medium,,2,,
112,"If a = 3 and b = 4, what is a^2 + b^2?",reasoning,nested_expression,hard,,25,,
113,"A sequence starts 2, 4, 8, 16... What is the 8th term?",reasoning,multi_step_math,medium,,256,,
114,What is 20% of 350?,reasoning,single_step_math,easy,,70,,
115,What is 12.5% of 800?,reasoning,single_step_math,easy,,100,,
116,What is the area of a circle with radius 7? Use pi = 3.14159 and round to 2 decimal places.,reasoning,multi_step_math,medium,,153.94,,
117,What is the hypotenuse of a right triangle with legs 3 and 4?,reasoning,multi_step_math,medium,,5,,
118,What is the sum of angles in a triangle?,reasoning,single_step_math,easy,,180,,
119,What is the sum of interior angles of a hexagon in degrees?,reasoning,multi_step_math,medium,,720,,
120,What is the perimeter of a square with side 13?,reasoning,multi_step_math,medium,,52,,
121,What is the volume of a cube with side 4?,reasoning,multi_step_math,medium,,64,,
122,How many edges does a cube have?,reasoning,multi_step_math,medium,,12,,
123,"What is the median of [3, 7, 1, 9, 4]?",reasoning,multi_step_math,medium,,4,,
124,"What is the mean of [10, 20, 30, 40, 50]?",reasoning,multi_step_math,medium,,30,,
125,"If you flip a fair coin 3 times, how many possible outcomes are there?",reasoning,multi_step_math,medium,,8,,
126,What is 8! divided by 6!?,reasoning,nested_expression,hard,,56,,
127,Convert 45 degrees to radians. Express as a decimal rounded to 4 places.,reasoning,nested_expression,hard,,0.7854,,
128,What is the cube root of 27?,reasoning,single_step_math,easy,,3,,
129,What is the square root of 2 rounded to 3 decimal places?,reasoning,single_step_math,easy,,1.414,,
130,What is the value of pi rounded to 5 decimal places?,reasoning,single_step_math,easy,,3.14159,,
131,"What is the determinant of the 2x2 matrix [[2,3],[1,4]]?",reasoning,nested_expression,hard,,5,,
132,What is 15% of 240?,reasoning,single_step_math,easy,,36,,
133,Give exactly 3 uses of AI in healthcare.,constraint,count_only,easy,single,COUNT=3,strict,
134,Give exactly 3 bullet points about climate change.,constraint,count_only,easy,single,COUNT=3,strict,
135,Explain quantum computing in exactly 2 sentences.,constraint,count_only,medium,multi,COUNT=2|SENTENCES=2,strict,
136,Summarize the benefits of exercise in under 10 words.,constraint,length_only,easy,single,MAX_WORDS=10,flexible,
137,List exactly 2 programming languages.,constraint,count_only,easy,single,COUNT=2,strict,
138,Give exactly 4 bullet points about AI risks.,constraint,count_only,easy,single,COUNT=4,strict,
139,Give 3 advantages of electric vehicles in under 5 words each.,constraint,count_only,medium,multi,COUNT=3|MAX_WORDS=5,strict,
140,Explain photosynthesis in exactly one sentence.,constraint,count_only,medium,multi,COUNT=1|SENTENCES=1,strict,
141,List exactly 5 countries in Asia.,constraint,count_only,easy,single,COUNT=5,strict,
142,Name exactly 6 planets in our solar system.,constraint,count_only,easy,single,COUNT=6,strict,
143,Give exactly 2 reasons why exercise is important.,constraint,count_only,easy,single,COUNT=2,strict,
144,Summarize the French Revolution in under 20 words.,constraint,length_only,easy,single,MAX_WORDS=20,flexible,
145,List exactly 4 programming paradigms.,constraint,count_only,easy,single,COUNT=4,strict,
146,Give exactly 3 examples of renewable energy sources.,constraint,count_only,easy,single,COUNT=3,strict,
