id,category,subcategory,difficulty,question,expected_answer,constraint_complexity,constraint_priority,anchor_topic,pair_id,failure_mode,isolation_rationale,analysis_scope
1,compliance_tier1,count_only,easy,Name exactly 4 benefits of regular physical exercise.,COUNT=4,tier1,strict,exercise,anchor_exercise_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
2,compliance_tier1,count_only,easy,Provide exactly 3 effects of daily meditation practice.,COUNT=3,tier1,strict,meditation,anchor_meditation_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
3,compliance_tier1,count_only,medium,Identify exactly 4 consequences of climate change.,COUNT=4,tier1,strict,climate,anchor_climate_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
4,compliance_tier1,count_only,easy,Enumerate exactly 4 forms of renewable energy generation.,COUNT=4,tier1,strict,renewable,anchor_renewable_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
5,compliance_tier1,count_only,medium,Specify exactly 4 programming languages used in industry.,COUNT=4,tier1,strict,proglang,anchor_proglang_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
6,compliance_tier1,count_only,easy,Give exactly 5 capital cities of European nations.,COUNT=5,tier1,strict,eurocaps,anchor_eurocaps_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
7,compliance_tier1,count_only,medium,State exactly 4 ancient civilisations from world history.,COUNT=4,tier1,strict,civilisations,anchor_civilisations_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
8,compliance_tier1,count_only,medium,Outline exactly 4 distinct music genres.,COUNT=4,tier1,strict,musicgenres,anchor_musicgenres_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
9,compliance_tier1,count_only,easy,Name exactly 4 fundamental cooking techniques.,COUNT=4,tier1,strict,cooking,anchor_cooking_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
10,compliance_tier1,count_only,hard,Provide exactly 4 well-documented psychological biases.,COUNT=4,tier1,strict,biases,anchor_biases_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
11,compliance_tier1,count_only,medium,Identify exactly 3 milestones in human space exploration.,COUNT=3,tier1,strict,space,anchor_space_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
12,compliance_tier1,count_only,medium,Enumerate exactly 4 scientists who shaped modern thought.,COUNT=4,tier1,strict,scientists,anchor_scientists_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
13,compliance_tier1,count_only,hard,Specify exactly 3 economic systems studied in macroeconomics.,COUNT=3,tier1,strict,economic,anchor_economic_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
14,compliance_tier1,count_only,hard,Give exactly 4 major literary movements.,COUNT=4,tier1,strict,literary,anchor_literary_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
