model,id,question,category,subcategory,difficulty,expected,raw_output,answer,confidence,format_error,parse_note,constraint_violation,constraint_details,hallucination,hallucination_details,incomplete,incomplete_details,sycophancy,sycophancy_details,error
gpt-4o-mini,1,What is the capital of France?,factual,entity_fact,easy,Paris,"{
  ""answer"": ""Paris"",
  ""confidence"": ""high""
}",Paris,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,2,What is the capital of Australia?,factual,entity_fact,easy,Canberra,"{
  ""answer"": ""Canberra"",
  ""confidence"": ""high""
}",Canberra,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,3,What is the capital of Brazil?,factual,entity_fact,easy,Brasília,"{
  ""answer"": ""Brasília"",
  ""confidence"": ""high""
}",Brasília,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,4,What is the capital of Canada?,factual,entity_fact,easy,Ottawa,"{
  ""answer"": ""Ottawa"",
  ""confidence"": ""high""
}",Ottawa,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,5,What is the capital of Japan?,factual,entity_fact,easy,Tokyo,"{
  ""answer"": ""Tokyo"",
  ""confidence"": ""high""
}",Tokyo,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,6,What is the capital of Egypt?,factual,entity_fact,easy,Cairo,"{
  ""answer"": ""Cairo"",
  ""confidence"": ""high""
}",Cairo,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,7,What is the capital of Argentina?,factual,entity_fact,easy,Buenos Aires,"{
  ""answer"": ""Buenos Aires"",
  ""confidence"": ""high""
}",Buenos Aires,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,8,What is the capital of South Korea?,factual,entity_fact,easy,Seoul,"{
  ""answer"": ""Seoul"",
  ""confidence"": ""high""
}",Seoul,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,9,What is the capital of Nigeria?,factual,entity_fact,easy,Abuja,"{
  ""answer"": ""Abuja"",
  ""confidence"": ""high""
}",Abuja,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,10,What is the capital of Sweden?,factual,entity_fact,easy,Stockholm,"{
  ""answer"": ""Stockholm"",
  ""confidence"": ""high""
}",Stockholm,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,11,What is the capital of India?,factual,entity_fact,easy,New Delhi,"{
  ""answer"": ""New Delhi"",
  ""confidence"": ""high""
}",New Delhi,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,12,What is the capital of Mexico?,factual,entity_fact,easy,Mexico City,"{
  ""answer"": ""Mexico City"",
  ""confidence"": ""high""
}",Mexico City,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,13,What is the most spoken language in South America?,factual,entity_fact,easy,Portuguese,"{
  ""answer"": ""Portuguese"",
  ""confidence"": ""high""
}",Portuguese,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,14,What is the largest ocean on Earth?,factual,entity_fact,easy,Pacific Ocean,"{
  ""answer"": ""Pacific Ocean"",
  ""confidence"": ""high""
}",Pacific Ocean,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,15,What is the longest river in the world?,factual,entity_fact,easy,Nile,"{
  ""answer"": ""The longest river in the world is the Nile River."",
  ""confidence"": ""high""
}",The longest river in the world is the Nile River.,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,16,What is the tallest mountain in the world?,factual,entity_fact,easy,Mount Everest,"{
  ""answer"": ""Mount Everest"",
  ""confidence"": ""high""
}",Mount Everest,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,17,What is the smallest country in the world by area?,factual,entity_fact,easy,Vatican City,"{
  ""answer"": ""Vatican City"",
  ""confidence"": ""high""
}",Vatican City,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,18,How many continents are there on Earth?,factual,numeric_fact,medium,7,"{
  ""answer"": ""There are seven continents on Earth."",
  ""confidence"": ""high""
}",There are seven continents on Earth.,high,False,ok,False,,True,"Expected '7', got 'There are seven continents on Earth.' (similarity 0.00)",False,,False,,
gpt-4o-mini,19,What language has the most native speakers in the world?,factual,entity_fact,easy,Mandarin Chinese,"{
  ""answer"": ""Mandarin Chinese"",
  ""confidence"": ""high""
}",Mandarin Chinese,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,20,What is the boiling point of water at sea level in Celsius?,factual,numeric_fact,medium,100,"{
  ""answer"": ""100"",
  ""confidence"": ""high""
}",100,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,21,What is the freezing point of water in Fahrenheit?,factual,numeric_fact,medium,32,"{
  ""answer"": ""32 degrees Fahrenheit"",
  ""confidence"": ""high""
}",32 degrees Fahrenheit,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,22,What is the speed of light in a vacuum in km/s?,factual,numeric_fact,medium,299792,"{
  ""answer"": ""299792.458"",
  ""confidence"": ""high""
}",299792.458,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,23,How many bones are in the adult human body?,factual,numeric_fact,medium,206,"{
  ""answer"": ""206"",
  ""confidence"": ""high""
}",206,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,24,What is the chemical symbol for gold?,factual,definition,medium,Au,"{
  ""answer"": ""Au"",
  ""confidence"": ""high""
}",Au,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,25,What is the chemical symbol for iron?,factual,definition,medium,Fe,"{
  ""answer"": ""Fe"",
  ""confidence"": ""high""
}",Fe,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,26,What is the chemical symbol for sodium?,factual,definition,medium,Na,"{
  ""answer"": ""Na"",
  ""confidence"": ""high""
}",Na,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,27,What is the atomic number of carbon?,factual,numeric_fact,medium,6,"{
  ""answer"": ""6"",
  ""confidence"": ""high""
}",6,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,28,What is the atomic number of oxygen?,factual,numeric_fact,medium,8,"{
  ""answer"": ""8"",
  ""confidence"": ""high""
}",8,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,29,What planet is closest to the Sun?,factual,entity_fact,easy,Mercury,"{
  ""answer"": ""Mercury"",
  ""confidence"": ""high""
}",Mercury,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,30,How many moons does Mars have?,factual,numeric_fact,medium,2,"{
  ""answer"": ""Mars has 2 moons."",
  ""confidence"": ""high""
}",Mars has 2 moons.,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,31,What is the largest planet in the solar system?,factual,entity_fact,easy,Jupiter,"{
  ""answer"": ""Jupiter"",
  ""confidence"": ""high""
}",Jupiter,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,32,What gas do plants absorb during photosynthesis?,factual,definition,medium,Carbon dioxide,"{
  ""answer"": ""carbon dioxide"",
  ""confidence"": ""high""
}",carbon dioxide,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,33,What is the hardest natural substance on Earth?,factual,definition,medium,Diamond,"{
  ""answer"": ""Diamond"",
  ""confidence"": ""high""
}",Diamond,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,34,How many chambers does the human heart have?,factual,numeric_fact,medium,4,"{
  ""answer"": ""The human heart has four chambers."",
  ""confidence"": ""high""
}",The human heart has four chambers.,high,False,ok,False,,True,"Expected '4', got 'The human heart has four chambers.' (similarity 0.00)",False,,False,,
gpt-4o-mini,35,What is the most abundant gas in Earth's atmosphere?,factual,definition,medium,Nitrogen,"{
  ""answer"": ""Nitrogen"",
  ""confidence"": ""high""
}",Nitrogen,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,36,What is the second most abundant gas in Earth's atmosphere?,factual,entity_fact,easy,Oxygen,"{
  ""answer"": ""Oxygen"",
  ""confidence"": ""high""
}",Oxygen,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,37,What is the SI unit of electric current?,factual,numeric_fact,medium,Ampere,"{
  ""answer"": ""ampere"",
  ""confidence"": ""high""
}",ampere,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,38,What is the SI unit of force?,factual,numeric_fact,medium,Newton,"{
  ""answer"": ""newton"",
  ""confidence"": ""high""
}",newton,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,39,How many teeth does an adult human have?,factual,numeric_fact,medium,32,"{
  ""answer"": ""An adult human typically has 32 teeth."",
  ""confidence"": ""high""
}",An adult human typically has 32 teeth.,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,40,What is the approximate age of the universe in billions of years?,factual,numeric_fact,medium,13.8,"{
  ""answer"": ""13.8 billion years"",
  ""confidence"": ""high""
}",13.8 billion years,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,41,What is the pH of pure water?,factual,numeric_fact,medium,7,"{
  ""answer"": ""7"",
  ""confidence"": ""high""
}",7,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,42,What is the largest organ in the human body?,factual,definition,medium,Skin,"{
  ""answer"": ""The largest organ in the human body is the skin."",
  ""confidence"": ""high""
}",The largest organ in the human body is the skin.,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,43,What is the chemical formula for water?,factual,definition,medium,H2O,"{
  ""answer"": ""H2O"",
  ""confidence"": ""high""
}",H2O,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,44,What is the chemical formula for carbon dioxide?,factual,definition,medium,CO2,"{
  ""answer"": ""CO2"",
  ""confidence"": ""high""
}",CO2,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,45,What is the chemical formula for table salt?,factual,definition,medium,NaCl,"{
  ""answer"": ""NaCl"",
  ""confidence"": ""high""
}",NaCl,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,46,How many chromosomes do humans have?,factual,numeric_fact,medium,46,"{
  ""answer"": ""Humans have 46 chromosomes."",
  ""confidence"": ""high""
}",Humans have 46 chromosomes.,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,47,What is the speed of sound in air in m/s approximately?,factual,numeric_fact,medium,343,"{
  ""answer"": ""343"",
  ""confidence"": ""high""
}",343,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,48,What is the name of the galaxy that contains our solar system?,factual,entity_fact,easy,Milky Way,"{
  ""answer"": ""Milky Way"",
  ""confidence"": ""high""
}",Milky Way,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,49,How many planets are in our solar system?,factual,numeric_fact,medium,8,"{
  ""answer"": ""There are 8 planets in our solar system."",
  ""confidence"": ""high""
}",There are 8 planets in our solar system.,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,50,What organ pumps blood through the human body?,factual,definition,medium,Heart,"{
  ""answer"": ""heart"",
  ""confidence"": ""high""
}",heart,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,51,What is the powerhouse of the cell?,factual,definition,medium,Mitochondria,"{
  ""answer"": ""Mitochondria"",
  ""confidence"": ""high""
}",Mitochondria,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,52,What year did World War II end?,factual,temporal_fact,easy,1945,"{
  ""answer"": ""1945"",
  ""confidence"": ""high""
}",1945,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,53,In what year did the Berlin Wall fall?,factual,temporal_fact,easy,1989,"{
  ""answer"": ""1989"",
  ""confidence"": ""high""
}",1989,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,54,Who wrote Romeo and Juliet?,factual,entity_fact,easy,William Shakespeare,"{
  ""answer"": ""William Shakespeare"",
  ""confidence"": ""high""
}",William Shakespeare,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,55,Who painted the Mona Lisa?,factual,entity_fact,easy,Leonardo da Vinci,"{
  ""answer"": ""Leonardo da Vinci"",
  ""confidence"": ""high""
}",Leonardo da Vinci,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,56,In which country was Albert Einstein born?,factual,entity_fact,easy,Germany,"{
  ""answer"": ""Germany"",
  ""confidence"": ""high""
}",Germany,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,57,In what year did humans first land on the Moon?,factual,temporal_fact,easy,1969,"{
  ""answer"": ""1969"",
  ""confidence"": ""high""
}",1969,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,58,Who was the first person to walk on the Moon?,factual,entity_fact,easy,Neil Armstrong,"{
  ""answer"": ""Neil Armstrong"",
  ""confidence"": ""high""
}",Neil Armstrong,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,59,In what year was the first iPhone released?,factual,temporal_fact,easy,2007,"{
  ""answer"": ""2007"",
  ""confidence"": ""high""
}",2007,high,False,ok,False,,False,,False,,False,,
